# RFC1213-MIB list of identifiers (generated by smidump 0.4.3)

RFC1213-MIB DisplayString           type        
RFC1213-MIB PhysAddress             type        
RFC1213-MIB mib-2                   node         1.3.6.1.2.1
RFC1213-MIB system                  node         1.3.6.1.2.1.1
RFC1213-MIB sysDescr                scalar       1.3.6.1.2.1.1.1
RFC1213-MIB sysObjectID             scalar       1.3.6.1.2.1.1.2
RFC1213-MIB sysUpTime               scalar       1.3.6.1.2.1.1.3
RFC1213-MIB sysContact              scalar       1.3.6.1.2.1.1.4
RFC1213-MIB sysName                 scalar       1.3.6.1.2.1.1.5
RFC1213-MIB sysLocation             scalar       1.3.6.1.2.1.1.6
RFC1213-MIB sysServices             scalar       1.3.6.1.2.1.1.7
RFC1213-MIB interfaces              node         1.3.6.1.2.1.2
RFC1213-MIB ifNumber                scalar       1.3.6.1.2.1.2.1
RFC1213-MIB ifTable                 table        1.3.6.1.2.1.2.2
RFC1213-MIB ifEntry                 row          1.3.6.1.2.1.2.2.1
RFC1213-MIB ifIndex                 column       1.3.6.1.2.1.2.2.1.1
RFC1213-MIB ifDescr                 column       1.3.6.1.2.1.2.2.1.2
RFC1213-MIB ifType                  column       1.3.6.1.2.1.2.2.1.3
RFC1213-MIB ifMtu                   column       1.3.6.1.2.1.2.2.1.4
RFC1213-MIB ifSpeed                 column       1.3.6.1.2.1.2.2.1.5
RFC1213-MIB ifPhysAddress           column       1.3.6.1.2.1.2.2.1.6
RFC1213-MIB ifAdminStatus           column       1.3.6.1.2.1.2.2.1.7
RFC1213-MIB ifOperStatus            column       1.3.6.1.2.1.2.2.1.8
RFC1213-MIB ifLastChange            column       1.3.6.1.2.1.2.2.1.9
RFC1213-MIB ifInOctets              column       1.3.6.1.2.1.2.2.1.10
RFC1213-MIB ifInUcastPkts           column       1.3.6.1.2.1.2.2.1.11
RFC1213-MIB ifInNUcastPkts          column       1.3.6.1.2.1.2.2.1.12
RFC1213-MIB ifInDiscards            column       1.3.6.1.2.1.2.2.1.13
RFC1213-MIB ifInErrors              column       1.3.6.1.2.1.2.2.1.14
RFC1213-MIB ifInUnknownProtos       column       1.3.6.1.2.1.2.2.1.15
RFC1213-MIB ifOutOctets             column       1.3.6.1.2.1.2.2.1.16
RFC1213-MIB ifOutUcastPkts          column       1.3.6.1.2.1.2.2.1.17
RFC1213-MIB ifOutNUcastPkts         column       1.3.6.1.2.1.2.2.1.18
RFC1213-MIB ifOutDiscards           column       1.3.6.1.2.1.2.2.1.19
RFC1213-MIB ifOutErrors             column       1.3.6.1.2.1.2.2.1.20
RFC1213-MIB ifOutQLen               column       1.3.6.1.2.1.2.2.1.21
RFC1213-MIB ifSpecific              column       1.3.6.1.2.1.2.2.1.22
RFC1213-MIB at                      node         1.3.6.1.2.1.3
RFC1213-MIB atTable                 table        1.3.6.1.2.1.3.1
RFC1213-MIB atEntry                 row          1.3.6.1.2.1.3.1.1
RFC1213-MIB atIfIndex               column       1.3.6.1.2.1.3.1.1.1
RFC1213-MIB atPhysAddress           column       1.3.6.1.2.1.3.1.1.2
RFC1213-MIB atNetAddress            column       1.3.6.1.2.1.3.1.1.3
RFC1213-MIB ip                      node         1.3.6.1.2.1.4
RFC1213-MIB ipForwarding            scalar       1.3.6.1.2.1.4.1
RFC1213-MIB ipDefaultTTL            scalar       1.3.6.1.2.1.4.2
RFC1213-MIB ipInReceives            scalar       1.3.6.1.2.1.4.3
RFC1213-MIB ipInHdrErrors           scalar       1.3.6.1.2.1.4.4
RFC1213-MIB ipInAddrErrors          scalar       1.3.6.1.2.1.4.5
RFC1213-MIB ipForwDatagrams         scalar       1.3.6.1.2.1.4.6
RFC1213-MIB ipInUnknownProtos       scalar       1.3.6.1.2.1.4.7
RFC1213-MIB ipInDiscards            scalar       1.3.6.1.2.1.4.8
RFC1213-MIB ipInDelivers            scalar       1.3.6.1.2.1.4.9
RFC1213-MIB ipOutRequests           scalar       1.3.6.1.2.1.4.10
RFC1213-MIB ipOutDiscards           scalar       1.3.6.1.2.1.4.11
RFC1213-MIB ipOutNoRoutes           scalar       1.3.6.1.2.1.4.12
RFC1213-MIB ipReasmTimeout          scalar       1.3.6.1.2.1.4.13
RFC1213-MIB ipReasmReqds            scalar       1.3.6.1.2.1.4.14
RFC1213-MIB ipReasmOKs              scalar       1.3.6.1.2.1.4.15
RFC1213-MIB ipReasmFails            scalar       1.3.6.1.2.1.4.16
RFC1213-MIB ipFragOKs               scalar       1.3.6.1.2.1.4.17
RFC1213-MIB ipFragFails             scalar       1.3.6.1.2.1.4.18
RFC1213-MIB ipFragCreates           scalar       1.3.6.1.2.1.4.19
RFC1213-MIB ipAddrTable             table        1.3.6.1.2.1.4.20
RFC1213-MIB ipAddrEntry             row          1.3.6.1.2.1.4.20.1
RFC1213-MIB ipAdEntAddr             column       1.3.6.1.2.1.4.20.1.1
RFC1213-MIB ipAdEntIfIndex          column       1.3.6.1.2.1.4.20.1.2
RFC1213-MIB ipAdEntNetMask          column       1.3.6.1.2.1.4.20.1.3
RFC1213-MIB ipAdEntBcastAddr        column       1.3.6.1.2.1.4.20.1.4
RFC1213-MIB ipAdEntReasmMaxSize     column       1.3.6.1.2.1.4.20.1.5
RFC1213-MIB ipRouteTable            table        1.3.6.1.2.1.4.21
RFC1213-MIB ipRouteEntry            row          1.3.6.1.2.1.4.21.1
